c11,c12,c22,p10_1,p20_1
-2.671628146675816,-2.4003697211898576,-2.1173777094182173,-6.436845594870454,-2.6225518314619136
-1.4042798759740167,-1.1682158647540857,-0.8794380021887709,-1.9973763238327,1.6961301782808826
-0.38602840620009166,-0.42467570671043153,-0.2733804419090127,-0.8469175082859459,2.6113826568852416
-1.5593066750695086,-1.3094175270817605,-1.0582260976610076,-3.640346455012928,0.019625063380046326
0.04206609059868702,-0.2526864477256406,-0.07366973123585042,-1.3244227930101629,2.5876325491871657
-2.4354770471209055,-2.22518972397668,-1.9863871341257167,-6.4758360861718405,-2.67363904369765
-1.1174265663142378,-1.0572190618141448,-0.9432158680728917,-3.228953822230317,0.172163215343116
-0.3502925801830535,-0.43508013728808803,-0.34122723060051496,-1.2316967225565014,2.101537228680238
-0.5025404443736267,-0.4959982155271212,-0.35767254922089425,-1.0306539791726277,2.172157902366879
-0.6927942549537855,-0.7104128785312229,-0.6748777599150079,-2.9952775717956395,0.24098181495122134
-0.18301765679111204,-0.26551035678300045,-0.08049591150624182,-0.7445181657003241,2.890309008952207
-0.20402587994959817,-0.33643273964491044,-0.30231706331304287,-1.5571938652045436,1.6709647155649827
-0.28696911707789374,-0.3756048978636849,-0.28455675065642555,-1.399623721979541,2.0669935124987746
-0.30178559364398827,-0.3395996398312961,-0.13195430156780633,-0.4358528223719741,2.980213239588213
-0.7638479428301088,-0.7517098855483617,-0.6339636547973003,-1.653083466632513,1.5726115405777001
-0.28263659084736587,-0.39470693886867614,-0.3335258088454806,-1.5360456355432381,1.8501735552968253
-0.8169351868538227,-0.6981843903454589,-0.46273220547954524,-0.4282896711590439,2.798067177844304
-0.2716999127214472,-0.39783282907637707,-0.3308421192799382,-1.4030868183099374,1.972315024626436
-8.502565121821322,-6.4430502657484725,-4.783202065792007,-2.11471803505344,1.6941295811957666
-0.6934051565292393,-0.6285026425753388,-0.44999480806811376,-1.154258888196749,2.2508551822642806
-1.6063673079731406,-1.3978203186339049,-1.1559284625965598,-3.477883690040782,0.13592985525953166
-0.5556826053743207,-0.5564113122023983,-0.4163285298964105,-1.3903031097838234,2.067651334541875
-0.32356599883862425,-0.4063908685223978,-0.35338351179947136,-1.4441363751300451,1.8063443786044666
-0.6311428982706616,-0.6213737428410693,-0.48152888236696495,-1.0966099428039304,2.162059701202668
-1.988671580598863,-1.0932255621697082,-0.5055401198296292,2.3230037369034364,4.431276823280052
-0.38400436128198556,-0.404918570178111,-0.25022013541880483,-1.0655686595642584,2.461685925626682
-0.18531946041134253,-0.31753682194074395,-0.2525392851234218,-1.2016211417031504,2.05571662140116
-1.6601012665651667,-1.5322540476969237,-1.3675788268721671,-4.793825917580719,-1.2427425733479696
-4.199469581598871,-3.4501815958082642,-2.767426701417356,-7.215509457052289,-2.6590597517248193
-0.4048294301628415,-0.3625847566546791,-0.15328304866227796,-0.008198856948025562,3.0833339169585297
-0.3589769106538455,-0.44577556575347826,-0.365479715648932,-1.291672027434064,1.9496112125869929
-2.203662560826779,-1.9786286244595004,-1.7478999825395423,-5.090335385257042,-1.5830829917939682
-0.6319956270192948,-0.5834876727842916,-0.40026029685727404,-0.9525748819360161,2.399901663822724
-0.19413306138726955,-0.31767031193559897,-0.2562870665458067,-1.3223948413319995,1.9848755683025707
-1.2210217436866817,-1.1681554782649326,-1.0858549489645422,-4.246925528994511,-0.9167557752253128
-0.7646925413455274,-0.5952323736234008,-0.3273221541926184,0.10727171878952015,3.203679090758062
-0.7049281064836088,-0.6248859092577153,-0.4185286117141797,-0.993505680873747,2.4794224499469597
-0.4021734592708977,-0.4747326963074842,-0.40233269025856266,-1.5342268356788038,1.7318946153183228
-0.2226839058252782,-0.3217712129497762,-0.207661960064595,-1.0500695169562306,2.387706370423858
-0.41294444219511756,-0.4805938103136605,-0.39421855666511496,-1.652137022714358,1.7665126052493658
-2.6636107521962336,-2.272339999360213,-1.874322595060872,-5.262931329723324,-1.259552341408294
-0.3766453353177062,-0.39506930597675555,-0.2126595560485637,-0.611673720071673,2.7855397110887186
-1.4019604882738814,-1.2526775850960703,-1.0513876132803457,-3.502305490899982,0.11207490761324249
-0.3464653704875489,-0.38758092623613666,-0.24993408619141383,-0.8569462961160448,2.459381201864313
