c11,c12,c22,p10_3,p20_3
-0.015371313109130936,-0.26840648511971693,-0.013888999238637612,-1.7340829740357948,4.996900559585388
0.015511409806459231,-0.26115979152049723,-0.024456221672496177,-1.967056896556963,4.83895444940734
0.03803785604998904,-0.2633956834165385,-0.0014933345137693147,-2.045047628711961,4.9702875827204425
0.006523382625948249,-0.2652669511066941,-0.010410153218863943,-1.8859047415996746,4.9781636151799304
-0.03446254122918172,-0.2687166180162011,-0.004293446101133152,-1.5350837951237553,5.088740907881047
0.01574366496718027,-0.2664205407450353,0.007386354259182194,-1.9162670567442455,5.109467791650939
0.0077361713250478446,-0.26260984902965784,-0.02164073514123452,-1.972632308498906,4.907345595203971
0.030043410816391215,-0.2594785297072639,-0.0007635685893582504,-1.972468981044974,4.975422110624009
-0.030034616718194174,-0.2616518505667949,-0.0178097239391125,-1.6258238621713295,4.944883976555047
0.002275543685558143,-0.26074540806447416,-0.019782220152429107,-1.8898750235615491,4.895136478252336
0.0019497122730419143,-0.26444506229469633,-0.016120561209817037,-1.8901665758125605,4.914909866716259
-0.0007457508043134588,-0.25931617480080205,-0.008266776065783342,-1.7390402746799427,4.953541647364008
0.0031193019844328543,-0.26741723319010735,-0.020298658034199567,-1.9268755651963578,4.950503460263424
-0.07325406972011606,-0.2737278222541488,-0.03628268026590237,-1.4055937007704722,4.9318321685804465
-0.029846906863699767,-0.26996345047436765,-0.0232422476355062,-1.6549105122212946,4.930364434164856
0.025260092119086107,-0.2614550967068543,-0.003238077439156615,-1.9042746419145649,4.940846541717295
0.00041799829391897986,-0.26217387856112706,-0.01389202060479407,-1.7918599574652374,4.906352832269795
0.015534360653780159,-0.26847479153988635,0.00939793557304282,-1.9242892278981818,5.1306812722369575
0.0013281821556676366,-0.2663194838602116,-0.01781728983297457,-1.8596263559913007,4.928262660546093
0.015931195274456005,-0.25813264847968065,0.0071345658894712526,-1.7924178977470802,5.06218845183116
-0.010380334262391096,-0.26832032825816315,-0.03892912790122625,-1.8377603412340429,4.770622550009694
0.02511020192019985,-0.2586074426522056,-0.0010335845032528024,-1.921172124890321,4.984442943740211
-0.05707315037424682,-0.2688142817152489,-0.027802958133685603,-1.5315845611257703,4.964403700880151
0.012040737106993446,-0.25888273773412834,-0.007807018591252938,-1.9518433789029708,5.00607345941649
0.0065412505091082904,-0.27080585881230446,-0.00582896418284547,-1.8979413084923695,5.046869631326008
-0.0825937160171307,-0.28187603605144157,-0.04971725605857336,-1.484998872154677,4.862380121465388
0.003322544826581383,-0.2643441922905466,-0.012302410057111527,-1.8098383165848158,4.947374314372832
0.03079929565004294,-0.2706633353371887,0.0009455343309451211,-2.0326256606800017,5.02224818760767
0.032460116017563156,-0.2674901732942856,-0.018680014080331597,-2.0493776017582266,4.816302058679756
0.010965019085640413,-0.26368191259301377,-0.008590875686926845,-1.8840955156772603,4.952210471018375
